fix,mode,d_cm,bearing_deg,rel_deg,trend,closing_cm_per_5s,period_ms,gain_l,gain_r,held
55,beep,52713,124.719,172.46,-1,-638,1830,9000,9000,0
56,beep,52726,124.646,177.54,-1,-612,1830,9000,9000,0
57,beep,52726,124.646,177.54,-1,-612,1830,9000,9000,1
58,beep,53209,124.817,179.66,-1,-683,1830,9000,9000,0
59,beep,53268,124.752,180.24,-1,-727,1830,9000,9000,0
60,beep,53450,124.931,174.38,-1,-754,1830,9000,9000,0
61,beep,53593,124.713,180.67,-1,-785,1830,9000,9000,0
62,beep,53759,124.894,169.09,-1,-847,1830,9000,9000,0
63,beep,53803,124.848,176.42,-1,-784,1830,9000,9000,0
64,beep,53874,124.885,173.15,-1,-740,1830,9000,9000,0
65,beep,54131,124.667,168.56,-1,-725,1830,9000,9000,0
66,beep,54166,124.757,175.61,-1,-687,1830,9000,9000,0
67,beep,54360,124.816,173.64,-1,-666,1830,9000,9000,0
68,beep,54493,124.779,168.43,-1,-672,1830,9000,9000,0
69,beep,54656,124.859,177.49,-1,-700,1830,9000,9000,0
70,beep,54621,124.982,175.58,-1,-647,1830,9000,9000,0
71,beep,54830,124.980,170.23,-1,-652,1830,9000,9000,0
72,beep,54966,124.828,172.73,-1,-640,1830,9000,9000,0
73,beep,55090,125.010,162.16,-1,-630,1830,9000,9000,0
74,beep,55220,124.892,175.04,-1,-613,1830,9000,9000,0
75,beep,55333,124.894,172.03,-1,-638,1830,9000,9000,0
76,beep,55494,124.927,179.50,-1,-645,1830,9000,9000,0
77,beep,55650,124.909,171.29,-1,-655,1830,9000,9000,0
78,beep,55757,124.946,170.19,-1,-658,1830,9000,9000,0
79,beep,55803,125.015,184.27,-1,-639,1830,9000,9000,0
80,beep,56017,125.055,174.72,-1,-651,1830,9000,9000,0
81,beep,55958,124.954,168.24,-1,-604,1830,9000,9000,0
82,beep,56075,125.105,172.56,-1,-559,1830,9000,9000,0
83,beep,56158,124.988,170.25,-1,-520,1830,9000,9000,0
84,beep,56241,125.130,176.75,-1,-500,1830,9000,9000,0
85,beep,56410,124.936,176.88,-1,-473,1830,9000,9000,0
86,beep,56610,125.124,177.50,-1,-518,1830,9000,9000,0
87,beep,56834,125.173,171.66,-1,-578,1830,9000,9000,0
88,beep,56802,125.165,159.77,-1,-595,1830,9000,9000,0
89,beep,57088,125.044,173.06,-1,-658,1830,9000,9000,0
90,beep,56978,125.186,175.80,-1,-636,1830,9000,9000,0
91,beep,57257,125.225,298.13,-1,-639,1830,32137,6393,0
92,beep,57197,125.155,323.67,-1,-570,1830,30273,12539,0
93,beep,57162,125.093,325.55,-1,-517,1830,30273,12539,0
94,beep,57067,125.040,319.74,-1,-383,1830,30273,12539,0
95,beep,56990,125.090,327.04,-1,-290,1830,27245,18204,0
96,beep,56859,124.875,320.28,-1,-118,1830,30273,12539,0
97,beep,56676,124.931,324.48,0,41,1830,30273,12539,0
98,beep,56665,124.732,317.90,0,155,1830,30273,12539,0
99,beep,56451,124.626,328.68,1,270,1830,27245,18204,0
100,beep,56523,124.573,306.83,1,319,1830,30273,12539,0
101,beep,56333,124.646,329.24,1,371,1830,27245,18204,0
102,beep,56313,124.539,321.47,1,369,1830,30273,12539,0
103,beep,56092,124.499,321.69,1,420,1830,30273,12539,0
104,beep,56042,124.497,323.06,1,417,1830,30273,12539,0
105,beep,55903,124.355,321.36,1,468,1830,30273,12539,0
106,beep,55926,124.304,333.44,1,452,1830,27245,18204,0
107,beep,55837,124.174,320.26,1,458,1830,30273,12539,0
108,beep,55770,124.155,319.88,1,424,1830,30273,12539,0
109,beep,55653,124.049,320.92,1,415,1830,30273,12539,0
110,beep,55522,123.918,321.48,1,407,1830,30273,12539,0
111,beep,55469,123.723,316.27,1,419,1830,30273,12539,0
112,beep,55361,123.645,323.83,1,433,1830,30273,12539,0
113,beep,55181,123.612,324.41,1,472,1830,30273,12539,0
114,beep,55050,123.581,320.70,1,505,1830,30273,12539,0
115,beep,54974,123.426,310.95,1,515,1830,30273,12539,0
116,beep,54861,123.340,324.00,1,538,1830,30273,12539,0
117,beep,54859,123.325,322.54,1,529,1830,30273,12539,0
118,beep,54656,123.178,322.82,1,528,1830,30273,12539,0
119,beep,54751,123.033,317.84,1,471,1830,30273,12539,0
120,beep,54408,123.136,324.52,1,494,1830,30273,12539,0
121,beep,54271,122.942,317.25,1,518,1830,30273,12539,0
122,beep,54224,122.883,323.97,1,547,1830,30273,12539,0
123,beep,54066,122.881,316.72,1,558,1830,30273,12539,0
124,beep,54069,122.760,322.38,1,589,1830,30273,12539,0
125,beep,53888,122.632,309.70,1,571,1830,30273,12539,0
126,beep,53864,122.489,325.73,1,530,1830,30273,12539,0
127,beep,53862,122.557,318.76,1,488,1830,30273,12539,0
128,beep,53742,122.513,318.25,1,447,1830,30273,12539,0
129,beep,53735,122.317,321.06,1,419,1830,30273,12539,0
130,beep,53606,122.282,312.55,1,384,1830,30273,12539,0
131,beep,53548,122.089,317.81,1,367,1830,30273,12539,0
132,beep,53335,121.895,325.79,1,407,1830,30273,12539,0
133,beep,53305,121.842,317.08,1,414,1830,30273,12539,0
134,beep,53224,121.738,318.93,1,438,1830,30273,12539,0
135,beep,53220,121.853,317.03,1,425,1830,30273,12539,0
136,beep,53153,121.698,314.24,1,418,1830,30273,12539,0
137,beep,53153,121.739,325.24,1,359,1830,30273,12539,0
138,beep,52908,121.514,312.34,1,368,1830,30273,12539,0
139,beep,52778,121.604,322.94,1,387,1830,30273,12539,0
140,beep,52825,121.327,320.62,1,389,1830,30273,12539,0
141,beep,52777,121.287,325.00,1,386,1830,30273,12539,0
142,beep,52521,121.300,321.37,1,447,1830,30273,12539,0
143,beep,52282,121.154,326.67,1,492,1830,27245,18204,0
144,beep,52349,121.035,310.94,1,476,1830,30273,12539,0
145,beep,52079,120.968,323.31,1,543,1830,30273,12539,0
146,beep,52029,120.847,315.36,1,594,1830,30273,12539,0
147,beep,51902,120.645,320.08,1,600,1830,30273,12539,0
148,beep,51713,120.619,320.17,1,592,1830,30273,12539,0
149,beep,51668,120.668,320.22,1,614,1830,30273,12539,0
150,beep,51521,120.388,308.69,1,600,1830,30273,12539,0
151,beep,51512,120.362,318.72,1,579,1830,30273,12539,0
152,beep,51570,120.314,310.87,1,517,1830,30273,12539,0
153,beep,51445,120.301,320.79,1,455,1830,30273,12539,0
154,beep,51068,120.152,323.70,1,491,1830,30273,12539,0
155,beep,51059,120.313,314.33,1,484,1830,30273,12539,0
156,beep,50955,119.858,318.78,1,502,1830,30273,12539,0
157,beep,50979,119.744,316.26,1,524,1830,30273,12539,0
158,beep,50898,119.623,321.26,1,530,1830,30273,12539,0
159,beep,50809,119.604,319.32,1,462,1830,30273,12539,0
160,beep,50639,119.355,319.37,1,451,1830,30273,12539,0
161,beep,50528,119.363,306.26,1,445,1830,30273,12539,0
162,beep,50397,119.196,321.51,1,479,1830,30273,12539,0
163,beep,50316,118.999,312.99,1,505,1830,30273,12539,0
164,beep,50204,118.866,319.49,1,530,1830,30273,12539,0
165,beep,50158,118.844,309.59,1,517,1830,30273,12539,0
166,beep,50021,118.672,321.20,1,515,1830,30273,12539,0
167,beep,50119,118.758,322.03,1,455,1830,30273,12539,0
168,beep,49844,118.488,320.77,1,459,1830,30273,12539,0
169,beep,49837,118.410,306.41,1,436,1830,30273,12539,0
170,beep,49754,118.436,318.39,1,428,1830,30273,12539,0
171,beep,49666,118.161,314.61,1,410,1830,30273,12539,0
172,beep,49514,118.270,315.05,1,458,1830,30273,12539,0
173,beep,49467,117.934,317.70,1,438,1830,30273,12539,0
174,beep,49349,117.815,312.06,1,450,1830,30273,12539,0
175,beep,49390,117.710,319.24,1,429,1830,30273,12539,0
176,beep,49226,117.500,314.29,1,431,1830,30273,12539,0
177,beep,49153,117.484,321.93,1,414,1830,30273,12539,0
178,beep,49204,117.412,310.93,1,376,1830,30273,12539,0
179,beep,49051,117.343,317.84,1,356,1539,30273,12539,0
180,beep,48810,117.187,306.90,1,412,1539,30273,12539,0
181,beep,48765,116.718,317.85,1,424,1539,30273,12539,0
182,beep,48595,116.689,307.68,1,458,1539,30273,12539,0
183,beep,48559,116.481,311.86,1,504,1539,30273,12539,0
184,beep,48539,116.538,315.51,1,506,1539,30273,12539,0
185,beep,48509,116.384,311.74,1,455,1539,30273,12539,0
186,beep,48347,116.321,306.96,1,445,1539,30273,12539,0
187,beep,48241,116.156,317.02,1,422,1539,30273,12539,0
188,beep,48074,116.097,311.72,1,438,1539,30273,12539,0
189,beep,48021,115.994,311.86,1,458,1539,30273,12539,0
190,beep,48234,115.838,313.54,1,412,1539,30273,12539,0
191,beep,47987,115.845,316.63,1,399,1539,30273,12539,0
192,beep,47825,115.708,311.55,1,403,1539,30273,12539,0
193,beep,47758,115.469,314.64,1,381,1539,30273,12539,0
194,beep,47665,115.420,302.77,1,375,1539,32137,6393,0
195,beep,47556,115.217,347.35,1,450,1539,27245,18204,0
196,beep,47635,115.163,6.11,1,426,1539,23170,23170,0
197,beep,47391,115.256,5.29,1,428,1539,23170,23170,0
198,beep,47121,115.189,7.30,1,480,1539,23170,23170,0
199,beep,47110,115.457,6.79,1,499,1539,23170,23170,0
200,beep,46913,115.534,6.77,1,535,1539,23170,23170,0
201,beep,46862,115.298,10.83,1,594,1539,23170,23170,0
202,beep,46790,115.514,5.06,1,596,1539,23170,23170,0
203,beep,46554,115.557,15.06,1,588,1539,18204,27245,0
204,beep,46537,115.615,6.79,1,584,1539,23170,23170,0
205,beep,46361,115.665,2.02,1,576,1539,23170,23170,0
206,beep,46262,115.589,12.83,1,582,1539,18204,27245,0
207,beep,46147,115.627,13.71,1,597,1539,18204,27245,0
208,beep,46040,115.550,9.75,1,576,1539,23170,23170,0
209,beep,45779,115.709,9.00,1,622,1539,23170,23170,0
210,beep,45734,115.553,15.02,1,623,1539,18204,27245,0
211,beep,45678,115.524,10.41,1,613,1539,23170,23170,0
212,beep,45347,115.574,3.01,1,660,1539,23170,23170,0
213,beep,45294,115.531,5.16,1,681,1539,23170,23170,0
214,beep,45131,115.646,13.00,1,673,1539,18204,27245,0
215,beep,45201,115.622,7.37,1,638,1539,23170,23170,0
216,beep,45043,115.807,7.53,1,637,1539,23170,23170,0
217,beep,44847,115.578,14.82,1,603,1539,18204,27245,0
218,beep,44802,115.409,7.38,1,575,1539,23170,23170,0
219,beep,44690,115.637,2.09,1,541,1539,23170,23170,0
220,beep,44560,115.599,11.99,1,566,1539,18204,27245,0
221,beep,44449,115.715,7.55,1,573,1539,23170,23170,0
222,beep,44270,115.584,15.96,1,574,1539,18204,27245,0
223,beep,44149,115.798,20.19,1,594,1539,18204,27245,0
224,beep,44078,115.657,6.92,1,598,1539,23170,23170,0
225,beep,43957,115.685,1.36,1,599,1539,23170,23170,0
226,beep,43993,115.596,8.38,1,563,1539,23170,23170,0
227,beep,43847,115.682,14.79,1,528,1539,18204,27245,0
228,beep,43701,115.809,6.58,1,508,1539,23170,23170,0
229,beep,43589,115.733,13.33,1,503,1539,18204,27245,0
230,beep,43313,115.716,5.14,1,538,1539,23170,23170,0
231,beep,43176,115.977,12.93,1,608,1539,18204,27245,0
232,beep,43076,115.807,15.26,1,648,1539,18204,27245,0
233,beep,42964,115.911,11.70,1,670,1539,18204,27245,0
234,beep,42740,115.625,8.80,1,715,1539,23170,23170,0
235,beep,42408,115.833,20.19,1,762,1539,18204,27245,0
236,beep,42480,115.746,3.98,1,746,1539,23170,23170,0
237,beep,42244,115.621,6.76,1,767,1539,23170,23170,0
238,beep,42143,115.840,5.00,1,780,1539,23170,23170,0
239,beep,41817,116.262,9.24,1,816,1539,23170,23170,0
240,beep,41672,115.838,22.14,1,796,1539,18204,27245,0
241,beep,41618,115.871,11.15,1,812,1539,23170,23170,0
242,beep,41755,115.767,10.19,1,731,1539,23170,23170,0
243,beep,41474,116.089,10.98,1,716,1539,23170,23170,0
244,beep,41334,116.201,19.39,1,657,1539,18204,27245,0
245,beep,41241,116.114,13.39,1,601,1539,18204,27245,0
246,beep,41251,116.055,9.24,1,542,1539,23170,23170,0
247,beep,41027,116.241,3.47,1,588,1539,23170,23170,0
248,beep,40985,116.278,11.91,1,563,1539,18204,27245,0
249,beep,40769,116.168,4.16,1,564,1539,23170,23170,0
250,beep,40905,116.460,8.98,1,507,1539,23170,23170,0
251,beep,40641,116.266,15.53,1,532,1539,18204,27245,0
252,beep,40539,116.345,11.51,1,521,1539,18204,27245,0
253,beep,40402,116.413,8.78,1,537,1539,23170,23170,0
254,beep,40136,116.630,11.79,1,561,1539,18204,27245,0
255,beep,40122,116.338,9.66,1,616,1539,23170,23170,0
256,beep,39954,116.322,9.39,1,634,1539,23170,23170,0
257,beep,39774,116.495,9.19,1,666,1539,23170,23170,0
258,beep,39781,116.185,15.99,1,655,1539,18204,27245,0
259,beep,39626,116.465,2.41,1,618,1539,23170,23170,0
260,beep,39346,116.362,5.41,1,658,1539,23170,23170,0
261,beep,39184,116.693,10.76,1,686,1539,23170,23170,0
262,beep,39223,116.839,11.63,1,652,1539,18204,27245,0
263,beep,39165,116.664,13.66,1,643,1539,18204,27245,0
264,beep,39044,116.872,8.61,1,628,1539,23170,23170,0
265,beep,38740,116.901,16.01,1,622,1539,18204,27245,0
266,beep,38495,117.134,13.66,1,639,1539,18204,27245,0
267,beep,38306,116.875,12.01,1,708,1539,18204,27245,0
268,beep,38340,116.948,14.30,1,737,1539,18204,27245,0
269,beep,38248,117.220,16.22,1,752,1539,18204,27245,0
270,beep,37911,117.003,10.43,1,771,1539,23170,23170,0
271,beep,37925,117.223,4.51,1,721,1539,23170,23170,0
272,beep,37728,117.010,10.43,1,685,1539,23170,23170,0
273,beep,37723,117.217,12.01,1,668,1539,18204,27245,0
274,beep,37507,117.295,12.85,1,686,1539,18204,27245,0
275,beep,37513,117.051,5.88,1,614,1539,23170,23170,0
276,beep,37234,117.091,9.78,1,633,1539,23170,23170,0
277,beep,37132,117.223,10.03,1,624,1539,23170,23170,0
278,beep,37088,117.310,15.11,1,626,1539,18204,27245,0
279,beep,36836,117.334,6.97,1,637,1539,23170,23170,0
280,beep,36779,117.353,13.21,1,661,1539,18204,27245,0
281,beep,36565,117.641,359.90,1,663,1539,23170,23170,0
282,beep,36537,117.506,8.01,1,646,1539,23170,23170,0
283,beep,36327,117.530,12.22,1,675,1539,18204,27245,0
284,beep,36358,117.676,7.81,1,625,1539,23170,23170,0
285,beep,36203,117.935,12.43,1,613,1539,18204,27245,0
286,beep,35883,117.833,13.59,1,630,1539,18204,27245,0
287,beep,35802,117.745,19.35,1,656,1539,18204,27245,0
288,beep,35618,118.139,19.48,1,669,1539,18204,27245,0
289,beep,35548,118.083,10.23,1,704,1539,23170,23170,0
290,beep,35537,118.288,16.29,1,695,1539,18204,27245,0
291,beep,35469,118.045,9.80,1,624,1539,23170,23170,0
292,beep,35175,118.158,14.70,1,625,1539,18204,27245,0
293,beep,35067,118.069,14.09,1,606,1539,18204,27245,0
294,beep,34846,118.276,12.61,1,630,1539,18204,27245,0
295,beep,34697,118.613,10.54,1,682,1539,23170,23170,0
296,beep,34557,118.402,5.01,1,740,1539,23170,23170,0
297,beep,34520,118.472,11.95,1,718,1539,18204,27245,0
298,beep,34383,118.572,12.15,1,710,1539,18204,27245,0
299,beep,34152,118.485,12.79,1,706,1539,18204,27245,0
300,beep,34058,118.726,2.45,1,689,1539,23170,23170,0
301,beep,33900,118.428,18.36,1,681,1539,18204,27245,0
302,beep,33882,118.389,8.41,1,670,1539,23170,23170,0
303,beep,33554,118.547,6.32,1,710,1539,23170,23170,0
304,beep,33352,118.399,12.99,1,732,1539,18204,27245,0
305,beep,33408,118.705,17.96,1,711,1539,18204,27245,0
306,beep,33248,118.990,4.25,1,696,1539,23170,23170,0
307,beep,33064,118.915,7.89,1,727,1539,23170,23170,0
308,beep,32822,119.371,13.10,1,728,1539,18204,27245,0
309,beep,32783,118.882,13.52,1,688,1539,18204,27245,0
310,beep,32564,118.961,13.78,1,727,1294,18204,27245,0
311,beep,32485,119.149,22.40,1,736,1294,18204,27245,0
312,beep,32372,119.554,9.32,1,725,1294,23170,23170,0
313,beep,32209,119.745,10.52,1,697,1294,23170,23170,0
314,beep,32225,119.600,15.21,1,662,1294,18204,27245,0
315,beep,31873,119.632,13.65,1,669,1294,18204,27245,0
316,beep,32033,119.781,13.64,1,615,1294,18204,27245,0
317,beep,31792,119.738,13.19,1,606,1294,18204,27245,0
318,beep,31707,119.541,13.14,1,580,1294,18204,27245,0
319,beep,31593,119.717,21.54,1,593,1294,18204,27245,0
320,beep,31452,120.061,18.81,1,550,1294,18204,27245,0
321,beep,31253,120.285,17.86,1,607,1294,18204,27245,0
322,beep,31111,119.986,13.90,1,625,1294,18204,27245,0
323,beep,31115,119.965,13.95,1,617,1294,18204,27245,0
324,beep,30976,120.407,17.09,1,617,1294,18204,27245,0
325,beep,30775,120.175,3.46,1,632,1294,23170,23170,0
326,beep,30910,120.110,5.57,1,559,1294,23170,23170,0
327,beep,30548,120.319,17.14,1,560,1294,18204,27245,0
328,beep,30333,120.532,14.71,1,616,1294,18204,27245,0
329,beep,30250,120.315,9.33,1,643,1294,23170,23170,0
330,beep,30316,120.499,14.07,1,597,1294,18204,27245,0
331,beep,30165,120.617,10.94,1,634,1294,23170,23170,0
332,beep,29927,120.870,21.08,1,630,1294,18204,27245,0
333,beep,29790,120.783,18.91,1,608,1294,18204,27245,0
334,beep,29727,120.584,11.71,1,587,1294,18204,27245,0
335,beep,29816,120.856,16.89,1,565,1294,18204,27245,0
336,beep,29611,121.265,20.21,1,562,1294,18204,27245,0
337,beep,29495,121.030,18.70,1,530,1294,18204,27245,0
338,beep,29261,121.024,353.60,1,529,1294,23170,23170,0
339,beep,29044,120.929,326.06,1,568,1294,30273,12539,0
340,beep,28909,120.848,329.65,1,652,1294,27245,18204,0
341,beep,28824,120.652,333.96,1,686,1294,27245,18204,0
342,beep,28713,120.651,334.63,1,710,1294,27245,18204,0
343,beep,28539,120.359,325.25,1,713,1294,30273,12539,0
344,beep,28381,120.335,337.27,1,700,1294,27245,18204,0
345,beep,28264,120.469,328.48,1,686,1294,27245,18204,0
346,beep,28119,120.209,331.72,1,691,1294,27245,18204,0
347,beep,28095,120.004,333.05,1,672,1294,27245,18204,0
348,beep,27898,120.149,332.95,1,664,1294,27245,18204,0
349,beep,27975,119.836,335.75,1,600,1294,27245,18204,0
350,beep,27781,119.880,338.62,1,570,1294,27245,18204,0
351,beep,27633,119.653,327.45,1,549,1294,27245,18204,0
352,beep,27458,119.258,335.05,1,571,1294,27245,18204,0
353,beep,27408,119.264,331.02,1,551,1294,27245,18204,0
354,beep,27322,118.899,333.15,1,576,1294,27245,18204,0
355,beep,27198,119.560,327.92,1,578,1294,27245,18204,0
356,beep,27127,119.212,332.91,1,560,1294,27245,18204,0
357,beep,26923,118.916,333.80,1,553,1294,27245,18204,0
358,beep,26921,118.535,325.06,1,537,1294,30273,12539,0
359,beep,26744,118.578,336.79,1,547,1294,27245,18204,0
360,beep,26635,118.019,324.93,1,551,1294,30273,12539,0
361,beep,26353,118.316,330.37,1,606,1294,27245,18204,0
362,beep,26239,118.118,333.46,1,626,1294,27245,18204,0
363,beep,26167,118.261,324.22,1,658,1294,30273,12539,0
364,beep,26300,117.869,333.94,1,604,1294,27245,18204,0
365,beep,25861,117.580,333.20,1,647,1294,27245,18204,0
366,beep,25876,117.632,322.73,1,604,1294,30273,12539,0
367,beep,25770,117.732,334.05,1,570,1294,27245,18204,0
368,beep,25703,117.196,330.65,1,543,1294,27245,18204,0
369,beep,25620,117.067,333.41,1,577,1294,27245,18204,0
370,beep,25518,117.218,329.86,1,519,1294,27245,18204,0
371,beep,25339,116.986,325.88,1,523,1294,30273,12539,0
372,beep,25134,116.631,320.12,1,551,1294,30273,12539,0
373,beep,25062,116.598,327.11,1,574,1294,27245,18204,0
374,beep,24834,116.686,329.44,1,627,1294,27245,18204,0
375,beep,24790,116.381,321.58,1,652,1294,30273,12539,0
376,beep,24676,115.922,327.30,1,654,1294,27245,18204,0
377,beep,24567,115.796,334.15,1,632,1088,27245,18204,0
378,beep,24560,115.584,323.34,1,600,1088,30273,12539,0
379,beep,24395,115.640,325.67,1,559,1088,30273,12539,0
380,beep,24095,115.555,327.34,1,593,1088,27245,18204,0
381,beep,24106,115.566,337.63,1,587,1088,27245,18204,0
382,beep,24017,115.440,329.19,1,578,1088,27245,18204,0
383,beep,24034,115.066,325.72,1,565,1088,30273,12539,0
384,beep,23874,114.822,332.25,1,554,1088,27245,18204,0
385,beep,23912,114.769,325.13,1,461,1088,30273,12539,0
386,beep,23715,114.728,309.40,1,443,1088,30273,12539,0
387,beep,23564,114.164,316.71,1,446,1088,30273,12539,0
388,beep,23414,114.463,328.01,1,489,1088,27245,18204,0
389,beep,23477,113.987,332.04,1,466,1088,27245,18204,0
390,beep,23246,114.146,322.54,1,516,1088,30273,12539,0
391,beep,23261,114.052,333.41,1,500,1088,27245,18204,0
392,beep,23207,114.091,329.88,1,464,1088,27245,18204,0
393,beep,22998,113.374,330.49,1,452,1088,27245,18204,0
394,beep,22985,113.478,327.47,1,462,1088,27245,18204,0
395,beep,22790,113.389,325.88,1,460,1088,30273,12539,0
396,beep,22686,112.688,331.05,1,489,1088,27245,18204,0
397,beep,22560,112.807,325.33,1,528,1088,30273,12539,0
398,beep,22414,112.228,321.83,1,542,1088,30273,12539,0
399,beep,22253,112.392,326.88,1,589,1088,27245,18204,0
400,beep,22202,112.133,328.52,1,589,1088,27245,18204,0
401,beep,22082,111.693,334.13,1,593,1088,27245,18204,0
402,beep,21917,111.543,324.36,1,605,1088,30273,12539,0
403,beep,21990,111.272,326.64,1,560,1088,27245,18204,0
404,beep,21829,111.617,319.98,1,526,1088,30273,12539,0
405,beep,21738,110.814,319.97,1,510,1088,30273,12539,0
406,beep,21804,111.197,322.43,1,452,1088,30273,12539,0
407,beep,21733,110.590,323.25,1,385,1088,30273,12539,0
408,beep,21540,110.635,325.53,1,401,1088,30273,12539,0
409,beep,21370,110.200,322.69,1,415,1088,30273,12539,0
410,beep,21132,109.820,311.68,1,463,1088,30273,12539,0
411,beep,20995,109.655,318.68,1,549,1088,30273,12539,0
412,beep,20989,109.390,330.16,1,598,1088,27245,18204,0
413,beep,20791,109.141,317.24,1,636,1088,30273,12539,0
414,beep,20754,108.977,309.37,1,631,1088,30273,12539,0
415,beep,20668,108.816,320.33,1,589,1088,30273,12539,0
416,beep,20425,108.802,318.16,1,584,1088,30273,12539,0
417,beep,20419,108.615,321.77,1,580,1088,30273,12539,0
418,beep,20291,108.228,326.88,1,560,1088,27245,18204,0
419,beep,20283,107.962,319.82,1,538,1088,30273,12539,0
420,beep,20177,107.466,323.34,1,526,1088,30273,12539,0
421,beep,20053,107.709,316.10,1,487,1088,30273,12539,0
422,beep,20095,107.170,323.72,1,446,1088,30273,12539,0
423,beep,19769,107.010,321.79,1,465,1088,30273,12539,0
424,beep,19880,107.069,312.07,1,450,1088,30273,12539,0
425,beep,19800,106.242,321.97,1,431,1088,30273,12539,0
426,beep,19590,106.689,312.29,1,439,1088,30273,12539,0
427,beep,19653,105.685,310.71,1,440,1088,30273,12539,0
428,beep,19755,105.969,317.25,1,333,1088,30273,12539,0
429,beep,19638,105.430,315.95,1,310,1088,30273,12539,0
430,beep,19505,105.367,316.80,1,306,1088,30273,12539,0
431,beep,19305,105.839,314.18,1,301,1088,30273,12539,0
432,beep,19266,105.002,315.10,1,322,1088,30273,12539,0
433,beep,19199,104.429,306.41,1,381,1088,30273,12539,0
434,beep,18854,104.561,315.81,1,481,1088,30273,12539,0
435,beep,18761,103.555,318.07,1,547,1088,30273,12539,0
436,beep,18729,103.528,313.52,1,554,1088,30273,12539,0
437,beep,18443,103.633,319.39,1,621,1088,30273,12539,0
438,beep,18492,103.439,4.04,1,642,1088,23170,23170,0
439,beep,18288,102.660,19.84,1,623,1088,18204,27245,0
440,beep,17998,102.887,27.96,1,658,1088,18204,27245,0
441,beep,18017,103.373,23.24,1,671,1088,18204,27245,0
442,beep,17969,103.711,16.05,1,622,1088,18204,27245,0
