i,utc_s,fix,true_lat,true_lon,rep_lat,rep_lon,nmea_lat,nmea_lon,knots,cog,corrupted
28,36928,True,1.346587420,103.816332275,1.346594256,103.816318004,0120.79566N,10348.97908E,2.395261201,307.599105537,False
29,36929,True,1.346595231,103.816323544,1.346611280,103.816312914,0120.79668N,10348.97877E,2.577237941,314.985890309,False
30,36930,True,1.346603042,103.816314813,1.346610791,103.816301261,0120.79665N,10348.97808E,2.673445216,304.637083821,False
31,36931,True,1.346610852,103.816306082,1.346628160,103.816298034,0120.79769N,10348.97788E,2.709419135,316.830356498,False
32,36932,True,1.346618663,103.816297352,1.346630028,103.816295865,0120.79780N,10348.97775E,2.420023369,322.414819259,False
33,36933,True,1.346626474,103.816288621,1.346648434,103.816292278,0120.79891N,10348.97754E,2.391664138,299.436771184,False
34,36934,True,1.346634285,103.816279890,1.346650472,103.816288002,0120.79903N,10348.97728E,2.448098032,309.253964266,False
35,36935,True,1.346642095,103.816271159,1.346664401,103.816275378,0120.79986N,10348.97652E,2.585511276,321.449923292,False
36,36936,True,1.346649906,103.816262429,1.346677201,103.816271465,0120.80063N,10348.97629E,2.640580480,305.528301716,False
37,36937,True,1.346657717,103.816253698,1.346671847,103.816252322,0120.80031N,10348.97514E,2.526465559,310.338798421,False
38,36938,True,1.346665528,103.816244967,1.346682964,103.816242523,0120.80098N,10348.97455E,2.452538478,314.680929440,False
39,36939,True,1.346673338,103.816236237,1.346680888,103.816223423,0120.80085N,10348.97341E,2.555385496,305.416232887,False
40,36940,True,1.346681149,103.816227506,1.346695094,103.816218094,0120.80171N,10348.97309E,2.740185785,308.297966578,False
41,36941,True,1.346688960,103.816218775,1.346697565,103.816207619,0120.80185N,10348.97246E,2.620760171,311.797951619,False
42,36942,True,1.346696771,103.816210044,1.346709946,103.816199044,0120.80260N,10348.97194E,2.622863115,319.991511105,False
43,36943,True,1.346704581,103.816201314,1.346717505,103.816192954,0120.80305N,10348.97158E,2.380780609,305.046891410,False
44,36944,True,1.346712392,103.816192583,1.346729569,103.816190204,0120.80377N,10348.97141E,2.318407588,309.792495462,False
45,36945,True,1.346720203,103.816183852,1.346721561,103.816183133,0120.80329N,10348.97099E,2.510824485,302.850702827,False
46,36946,True,1.346728013,103.816175121,1.346739740,103.816176591,0120.80438N,10348.97060E,2.714910943,310.840268241,False
47,36947,True,1.346735824,103.816166391,1.346739333,103.816173526,0120.80436N,10348.97041E,2.244509323,315.612677704,False
48,36948,True,1.346743635,103.816157660,1.346737041,103.816167309,0120.80422N,10348.97004E,2.454684104,306.693154192,False
49,36949,True,1.346751446,103.816148929,1.346755363,103.816151909,0120.80532N,10348.96911E,2.279428150,304.849190436,False
50,36950,True,1.346759256,103.816140199,1.346770691,103.816143281,0120.80624N,10348.96860E,2.761468155,304.844256558,False
51,36951,True,1.346767067,103.816131468,1.346779801,103.816139220,0120.80679N,10348.96835E,2.468033085,309.010044714,False
52,36952,True,1.346774878,103.816122737,1.346785158,103.816129696,0120.80711N,10348.96778E,2.571589146,312.543197689,False
53,36953,True,1.346782689,103.816114006,1.346794967,103.816126221,0120.80770N,10348.96757E,2.742006521,311.952546874,False
54,36954,True,1.346790499,103.816105276,1.346805076,103.816110218,0120.80830N,10348.96661E,2.075352941,315.596222716,False
55,36955,True,1.346798310,103.816096545,1.346815238,103.816106597,0120.80891N,10348.96640E,2.165641662,312.256900289,False
56,36956,True,1.346806121,103.816087814,1.346810876,103.816102337,0120.80865N,10348.96614E,2.790446733,307.106457050,False
57,36957,True,1.346813932,103.816079083,1.346824104,103.816084560,0120.80945N,10348.96507E,2.807252565,318.264158433,True
58,36958,True,1.346821742,103.816070353,1.346847507,103.816074909,0120.81085N,10348.96449E,2.669643013,305.164593225,False
59,36959,True,1.346829553,103.816061622,1.346845977,103.816067359,0120.81076N,10348.96404E,2.570998301,304.507128822,False
60,36960,True,1.346837364,103.816052891,1.346867886,103.816062572,0120.81207N,10348.96375E,2.777304208,310.552038340,False
61,36961,True,1.346845175,103.816044161,1.346859999,103.816041545,0120.81160N,10348.96249E,2.664127207,304.042121884,False
62,36962,True,1.346852985,103.816035430,1.346881126,103.816037874,0120.81287N,10348.96227E,2.504655738,315.798400149,False
63,36963,True,1.346860796,103.816026699,1.346880367,103.816032492,0120.81282N,10348.96195E,2.607296976,308.430676166,False
64,36964,True,1.346868607,103.816017968,1.346886477,103.816029074,0120.81319N,10348.96174E,2.854374316,311.731043759,False
65,36965,True,1.346876418,103.816009238,1.346884426,103.815999581,0120.81307N,10348.95997E,2.419477443,316.108221512,False
66,36966,True,1.346884228,103.816000507,1.346892692,103.816001328,0120.81356N,10348.96008E,2.357902684,309.152601268,False
67,36967,True,1.346892039,103.815991776,1.346906840,103.815989823,0120.81441N,10348.95939E,2.277196885,311.177383848,False
68,36968,True,1.346899850,103.815983045,1.346910934,103.815978188,0120.81466N,10348.95869E,2.546468188,316.350318471,False
69,36969,True,1.346907660,103.815974315,1.346925091,103.815970020,0120.81551N,10348.95820E,2.523804194,307.366846160,False
70,36970,True,1.346915471,103.815965584,1.346931975,103.815978686,0120.81592N,10348.95872E,2.342183496,309.396733271,False
71,36971,True,1.346923282,103.815956853,1.346942593,103.815963138,0120.81656N,10348.95779E,2.417026149,314.751563984,False
72,36972,True,1.346931093,103.815948122,1.346939022,103.815945686,0120.81634N,10348.95674E,2.676358395,312.103296491,False
73,36973,True,1.346938903,103.815939392,1.346958309,103.815945473,0120.81750N,10348.95673E,2.849175872,322.846921505,False
74,36974,True,1.346946714,103.815930661,1.346956695,103.815930147,0120.81740N,10348.95581E,2.578596720,309.854107556,False
75,36975,True,1.346954525,103.815921930,1.346962671,103.815921778,0120.81776N,10348.95531E,2.886075882,312.857108424,False
76,36976,True,1.346962336,103.815913200,1.346973262,103.815911598,0120.81840N,10348.95470E,2.887983841,305.430847374,False
77,36977,True,1.346970146,103.815904469,1.346980216,103.815899320,0120.81881N,10348.95396E,2.503994077,313.620796154,False
78,36978,True,1.346977957,103.815895738,1.346988289,103.815893262,0120.81930N,10348.95360E,2.529552967,314.759476132,False
79,36979,True,1.346985768,103.815887007,1.346995731,103.815893348,0120.81974N,10348.95360E,2.346882670,300.737525007,False
80,36980,True,1.346993579,103.815878277,1.347009589,103.815879749,0120.82058N,10348.95278E,2.783246112,310.342733694,False
81,36981,True,1.347001389,103.815869546,1.346999354,103.815878786,0120.81996N,10348.95273E,2.448336285,316.711402337,False
82,36982,True,1.347009200,103.815860815,1.347016365,103.815877873,0120.82098N,10348.95267E,2.775733339,312.543000335,False
83,36983,True,1.347017011,103.815852084,1.347012088,103.815865858,0120.82073N,10348.95195E,2.460771402,314.735632634,False
84,36984,True,1.347024822,103.815843354,1.347026789,103.815867075,0120.82161N,10348.95202E,2.741597989,308.378351850,False
85,36985,True,1.347032632,103.815834623,1.347021577,103.815844613,0120.82129N,10348.95068E,2.391875175,308.063832719,False
86,36986,True,1.347040443,103.815825892,1.347045466,103.815839530,0120.82273N,10348.95037E,2.400413860,307.623641913,False
87,36987,True,1.347048254,103.815817162,1.347060903,103.815825579,0120.82365N,10348.94953E,2.718898921,313.509172560,False
88,36988,True,1.347056064,103.815808431,1.347058547,103.815827571,0120.82351N,10348.94965E,2.176340796,325.400054411,False
89,36989,True,1.347063875,103.815799700,1.347064453,103.815800366,0120.82387N,10348.94802E,2.274931906,311.983267672,False
90,36990,True,1.347071686,103.815790969,1.347069258,103.815815640,0120.82416N,10348.94894E,2.684136944,309.388439625,False
91,36991,True,1.347079497,103.815782239,1.347086663,103.815797122,0120.82520N,10348.94783E,1.480931419,187.093455915,False
92,36992,True,1.347073162,103.815780194,1.347078315,103.815798009,0120.82470N,10348.94788E,2.766969692,161.480879551,False
93,36993,True,1.347061925,103.815783629,1.347071929,103.815797333,0120.82432N,10348.94784E,2.622236633,159.535631696,False
94,36994,True,1.347050689,103.815787065,1.347063245,103.815801747,0120.82379N,10348.94810E,2.643064994,165.295243050,False
95,36995,True,1.347039452,103.815790500,1.347062809,103.815809763,0120.82377N,10348.94859E,2.609651783,158.050354518,False
96,36996,True,1.347028215,103.815793935,1.347040137,103.815808462,0120.82241N,10348.94851E,2.452377621,164.592494254,False
97,36997,True,1.347016978,103.815797371,1.347034894,103.815824823,0120.82209N,10348.94949E,2.402202638,160.454186494,False
98,36998,True,1.347005741,103.815800806,1.347019628,103.815815562,0120.82118N,10348.94893E,2.197982887,166.833402159,False
99,36999,True,1.346994504,103.815804241,1.347000758,103.815826044,0120.82005N,10348.94956E,2.764524845,155.945979346,False
100,37000,True,1.346983268,103.815807677,1.347000625,103.815818059,0120.82004N,10348.94908E,2.210983944,177.737448249,False
101,37001,True,1.346972031,103.815811112,1.346996340,103.815835693,0120.81978N,10348.95014E,2.571332387,155.413681355,False
102,37002,True,1.346960794,103.815814547,1.346987328,103.815831826,0120.81924N,10348.94991E,2.630840283,163.065569372,False
103,37003,True,1.346949557,103.815817983,1.346973124,103.815846105,0120.81839N,10348.95077E,2.473693358,162.809524023,False
104,37004,True,1.346938320,103.815821418,1.346970582,103.815849872,0120.81823N,10348.95099E,2.185051867,161.440310809,False
105,37005,True,1.346927083,103.815824853,1.346953016,103.815852952,0120.81718N,10348.95118E,2.564459332,163.003234260,False
106,37006,True,1.346915847,103.815828289,1.346950464,103.815848860,0120.81703N,10348.95093E,2.817756115,150.861857993,False
107,37007,True,1.346904610,103.815831724,1.346936518,103.815849034,0120.81619N,10348.95094E,2.644350347,163.913140590,False
108,37008,True,1.346893373,103.815835159,1.346931693,103.815853019,0120.81590N,10348.95118E,2.718238117,164.266876017,False
109,37009,True,1.346882136,103.815838595,1.346917925,103.815856487,0120.81508N,10348.95139E,2.623257047,163.132400933,False
110,37010,True,1.346870899,103.815842030,1.346901915,103.815860033,0120.81411N,10348.95160E,2.650523645,162.444349849,False
111,37011,True,1.346859662,103.815845465,1.346884925,103.815854516,0120.81310N,10348.95127E,2.401626005,167.451403118,False
112,37012,True,1.346848425,103.815848901,1.346874057,103.815858844,0120.81244N,10348.95153E,2.522081312,159.821419075,False
113,37013,True,1.346837189,103.815852336,1.346862491,103.815870747,0120.81175N,10348.95224E,2.378969757,159.203625172,False
114,37014,True,1.346825952,103.815855771,1.346853645,103.815878961,0120.81122N,10348.95274E,2.640681461,162.884986285,False
115,37015,True,1.346814715,103.815859207,1.346838662,103.815877313,0120.81032N,10348.95264E,2.562662542,172.477964918,False
116,37016,True,1.346803478,103.815862642,1.346826873,103.815881641,0120.80961N,10348.95290E,2.037207735,159.336985014,False
117,37017,True,1.346792241,103.815866077,1.346825656,103.815881145,0120.80954N,10348.95287E,2.265960226,160.785406272,False
118,37018,True,1.346781004,103.815869513,1.346805050,103.815889534,0120.80830N,10348.95337E,2.300592401,160.362200902,False
119,37019,True,1.346769768,103.815872948,1.346799101,103.815875504,0120.80795N,10348.95253E,2.610302385,165.186948695,False
120,37020,True,1.346758531,103.815876383,1.346789679,103.815906210,0120.80738N,10348.95437E,2.659744655,158.616972741,False
121,37021,True,1.346747294,103.815879819,1.346768929,103.815907491,0120.80614N,10348.95445E,2.121062595,165.692889452,False
122,37022,True,1.346736057,103.815883254,1.346762261,103.815908269,0120.80574N,10348.95450E,2.637163792,158.911798399,False
123,37023,True,1.346724820,103.815886689,1.346754426,103.815920165,0120.80527N,10348.95521E,2.278158399,166.156842848,False
124,37024,True,1.346713583,103.815890125,1.346746051,103.815914381,0120.80476N,10348.95486E,2.224311381,160.377503358,False
125,37025,True,1.346702347,103.815893560,1.346727991,103.815922109,0120.80368N,10348.95533E,2.606054023,172.934527354,False
126,37026,True,1.346691110,103.815896995,1.346716582,103.815917476,0120.80299N,10348.95505E,2.412768092,156.757672957,False
127,37027,True,1.346679873,103.815900431,1.346721335,103.815920674,0120.80328N,10348.95524E,2.203035232,163.796915140,False
128,37028,True,1.346668636,103.815903866,1.346712275,103.815927761,0120.80274N,10348.95567E,2.642568452,164.259086449,False
129,37029,True,1.346657399,103.815907301,1.346698024,103.815919557,0120.80188N,10348.95517E,2.266033746,161.259246905,False
130,37030,True,1.346646162,103.815910736,1.346689205,103.815927707,0120.80135N,10348.95566E,2.448864731,169.728377406,False
131,37031,True,1.346634926,103.815914172,1.346672614,103.815923493,0120.80036N,10348.95541E,2.705969126,164.281166050,False
132,37032,True,1.346623689,103.815917607,1.346648419,103.815931167,0120.79891N,10348.95587E,2.091802189,156.099829857,False
133,37033,True,1.346612452,103.815921042,1.346643415,103.815930942,0120.79860N,10348.95586E,2.675138214,164.762929003,False
134,37034,True,1.346601215,103.815924478,1.346632055,103.815932613,0120.79792N,10348.95596E,2.467000137,162.809109922,False
135,37035,True,1.346589978,103.815927913,1.346639944,103.815938022,0120.79840N,10348.95628E,2.835118617,164.819807001,False
136,37036,True,1.346578741,103.815931348,1.346625806,103.815936281,0120.79755N,10348.95618E,2.387116805,167.462565334,False
137,37037,True,1.346567505,103.815934784,1.346628656,103.815938089,0120.79772N,10348.95629E,2.479686844,156.500157225,False
138,37038,True,1.346556268,103.815938219,1.346600991,103.815947078,0120.79606N,10348.95682E,2.517424760,169.169081280,False
139,37039,True,1.346545031,103.815941654,1.346601402,103.815960933,0120.79608N,10348.95766E,2.099967809,158.657862915,False
140,37040,True,1.346533794,103.815945090,1.346583814,103.815945329,0120.79503N,10348.95672E,2.565988558,160.712153918,False
141,37041,True,1.346522557,103.815948525,1.346578643,103.815947397,0120.79472N,10348.95684E,2.373222083,156.285899919,False
142,37042,True,1.346511320,103.815951960,1.346567664,103.815967431,0120.79406N,10348.95805E,2.320811188,159.931102139,False
143,37043,True,1.346500084,103.815955396,1.346546218,103.815979667,0120.79277N,10348.95878E,2.943809054,154.476765440,False
144,37044,True,1.346488847,103.815958831,1.346540916,103.815969497,0120.79245N,10348.95817E,2.059371403,170.097740522,False
145,37045,True,1.346477610,103.815962266,1.346523508,103.815987424,0120.79141N,10348.95925E,2.567119500,157.657659012,False
146,37046,True,1.346466373,103.815965702,1.346512631,103.815986085,0120.79076N,10348.95917E,2.527380816,165.486048809,False
147,37047,True,1.346455136,103.815969137,1.346492427,103.815987649,0120.78955N,10348.95926E,2.553486816,160.569978815,False
148,37048,True,1.346443899,103.815972572,1.346481927,103.816001181,0120.78892N,10348.96007E,2.104910739,160.454648091,False
149,37049,True,1.346432662,103.815976008,1.346483402,103.816006729,0120.78900N,10348.96040E,2.443756003,160.452239459,False
150,37050,True,1.346421426,103.815979443,1.346457036,103.816006444,0120.78742N,10348.96039E,2.456682485,171.696953951,False
151,37051,True,1.346410189,103.815982878,1.346454645,103.816006170,0120.78728N,10348.96037E,2.404974155,161.641008543,False
152,37052,True,1.346398952,103.815986314,1.346454033,103.815999719,0120.78724N,10348.95998E,2.487589822,169.437978980,False
153,37053,True,1.346387715,103.815989749,1.346447259,103.816008900,0120.78684N,10348.96053E,2.884454532,159.506519657,False
154,37054,True,1.346376478,103.815993184,1.346419829,103.816032208,0120.78519N,10348.96193E,2.519588797,156.446296630,False
155,37055,True,1.346365241,103.815996620,1.346430588,103.816039367,0120.78584N,10348.96236E,2.928978217,165.981004976,False
156,37056,True,1.346354005,103.816000055,1.346394229,103.816029099,0120.78365N,10348.96175E,2.657917856,161.080780709,False
157,37057,True,1.346342768,103.816003490,1.346387283,103.816022619,0120.78324N,10348.96136E,2.670051397,163.483394925,False
158,37058,True,1.346331531,103.816006926,1.346375248,103.816024338,0120.78251N,10348.96146E,2.238399730,158.360289302,False
159,37059,True,1.346320294,103.816010361,1.346369937,103.816030534,0120.78220N,10348.96183E,2.207551265,160.279426798,False
160,37060,True,1.346309057,103.816013796,1.346345018,103.816033993,0120.78070N,10348.96204E,2.584630691,159.975779905,False
161,37061,True,1.346297820,103.816017232,1.346340670,103.816043049,0120.78044N,10348.96258E,2.086517657,173.101635527,False
162,37062,True,1.346286584,103.816020667,1.346323163,103.816046823,0120.77939N,10348.96281E,2.466742819,157.689688122,False
163,37063,True,1.346275347,103.816024102,1.346305946,103.816045652,0120.77836N,10348.96274E,2.500692482,166.010695696,False
164,37064,True,1.346264110,103.816027538,1.346291785,103.816049401,0120.77751N,10348.96296E,2.309143708,159.376536079,False
165,37065,True,1.346252873,103.816030973,1.346288251,103.816052099,0120.77730N,10348.96313E,2.426848226,169.250441356,False
166,37066,True,1.346241636,103.816034408,1.346270514,103.816056499,0120.77623N,10348.96339E,2.720912614,157.465577683,False
167,37067,True,1.346230399,103.816037843,1.346280614,103.816052030,0120.77684N,10348.96312E,2.238168704,156.732590435,False
168,37068,True,1.346219163,103.816041279,1.346249933,103.816063547,0120.77500N,10348.96381E,2.926979840,157.718905375,False
169,37069,True,1.346207926,103.816044714,1.346244281,103.816061099,0120.77466N,10348.96367E,2.592817048,171.995238770,False
170,37070,True,1.346196689,103.816048149,1.346242691,103.816068621,0120.77456N,10348.96412E,2.541909627,160.050818045,False
171,37071,True,1.346185452,103.816051585,1.346219768,103.816065487,0120.77319N,10348.96393E,2.389072376,163.547511778,False
172,37072,True,1.346174215,103.816055020,1.346220884,103.816081530,0120.77325N,10348.96489E,2.548776371,163.218674827,False
173,37073,True,1.346162978,103.816058455,1.346195709,103.816073042,0120.77174N,10348.96438E,2.716895562,160.229681717,False
174,37074,True,1.346151742,103.816061891,1.346182447,103.816077995,0120.77095N,10348.96468E,2.287715795,165.756468034,False
175,37075,True,1.346140505,103.816065326,1.346176919,103.816071059,0120.77062N,10348.96426E,2.311256709,158.469816156,False
176,37076,True,1.346129268,103.816068761,1.346155692,103.816076566,0120.76934N,10348.96459E,2.613490489,163.214538280,False
177,37077,True,1.346118031,103.816072197,1.346151478,103.816081916,0120.76909N,10348.96491E,2.938355656,155.551250662,False
178,37078,True,1.346106794,103.816075632,1.346148693,103.816075158,0120.76892N,10348.96451E,2.403363784,166.481375502,False
179,37079,True,1.346095557,103.816079067,1.346137462,103.816084907,0120.76825N,10348.96509E,2.611077729,159.497534521,False
180,37080,True,1.346084321,103.816082503,1.346116867,103.816098708,0120.76701N,10348.96592E,3.069800650,170.293255568,False
181,37081,True,1.346073084,103.816085938,1.346082865,103.816085971,0120.76497N,10348.96516E,2.395947851,158.868995050,False
182,37082,True,1.346061847,103.816089373,1.346073862,103.816098685,0120.76443N,10348.96592E,2.439006379,169.013609715,False
183,37083,True,1.346050610,103.816092809,1.346058245,103.816094496,0120.76349N,10348.96567E,2.621624029,164.621761567,False
184,37084,True,1.346039373,103.816096244,1.346061376,103.816097950,0120.76368N,10348.96588E,2.735130450,161.026949499,False
185,37085,True,1.346028136,103.816099679,1.346049473,103.816095102,0120.76297N,10348.96571E,2.814915696,164.637375519,False
186,37086,True,1.346016899,103.816103115,1.346038638,103.816106148,0120.76232N,10348.96637E,2.525590387,169.362198979,False
187,37087,True,1.346005663,103.816106550,1.346023167,103.816109089,0120.76139N,10348.96655E,2.632696805,159.138042750,False
188,37088,True,1.345994426,103.816109985,1.346012570,103.816120716,0120.76075N,10348.96724E,2.626206267,164.381251946,False
189,37089,True,1.345983189,103.816113421,1.346003338,103.816121484,0120.76020N,10348.96729E,2.588511519,164.127733857,False
190,37090,True,1.345971952,103.816116856,1.346001230,103.816099149,0120.76007N,10348.96595E,2.406559141,162.304853299,False
191,37091,True,1.345960715,103.816120291,1.345991902,103.816119315,0120.75951N,10348.96716E,2.656012138,159.207670764,False
192,37092,True,1.345949478,103.816123727,1.345976173,103.816127955,0120.75857N,10348.96768E,2.691141697,164.163273679,False
193,37093,True,1.345938242,103.816127162,1.345957345,103.816125695,0120.75744N,10348.96754E,2.621018655,160.827681902,False
194,37094,True,1.345927005,103.816130597,1.345950263,103.816131593,0120.75702N,10348.96790E,2.575108048,172.647357457,False
195,37095,True,1.345915768,103.816134033,1.345932295,103.816134077,0120.75594N,10348.96804E,4.063457990,127.865695346,False
196,37096,True,1.345905579,103.816147441,1.345931606,103.816125780,0120.75590N,10348.96755E,2.093512994,109.052671695,False
197,37097,True,1.345902433,103.816158696,1.345928637,103.816148739,0120.75572N,10348.96892E,2.603940717,109.968352572,False
198,37098,True,1.345899286,103.816169951,1.345913603,103.816168582,0120.75482N,10348.97011E,2.483645453,107.889162655,False
199,37099,True,1.345896139,103.816181206,1.345931409,103.816177760,0120.75588N,10348.97067E,2.645910148,108.672957934,False
200,37100,True,1.345892993,103.816192461,1.345928754,103.816196254,0120.75573N,10348.97178E,2.762016117,108.761218788,False
201,37101,True,1.345889846,103.816203716,1.345911016,103.816193068,0120.75466N,10348.97158E,2.831421778,104.470812602,False
202,37102,True,1.345886700,103.816214971,1.345922682,103.816205645,0120.75536N,10348.97234E,2.353129462,110.453919266,False
203,37103,True,1.345883553,103.816226227,1.345916256,103.816226243,0120.75498N,10348.97357E,2.538831844,100.501109809,False
204,37104,True,1.345880406,103.816237482,1.345919575,103.816229290,0120.75517N,10348.97376E,2.580721582,108.826473755,False
205,37105,True,1.345877260,103.816248737,1.345915806,103.816245098,0120.75495N,10348.97471E,2.466035105,113.636498978,False
206,37106,True,1.345874113,103.816259992,1.345907070,103.816250813,0120.75442N,10348.97505E,2.431143398,102.758150729,False
207,37107,True,1.345870967,103.816271247,1.345904933,103.816261263,0120.75430N,10348.97568E,2.696121827,101.919371840,False
208,37108,True,1.345867820,103.816282502,1.345895905,103.816267712,0120.75375N,10348.97606E,2.692171830,105.797122825,False
209,37109,True,1.345864673,103.816293757,1.345896066,103.816293688,0120.75376N,10348.97762E,2.259918772,106.707105602,False
210,37110,True,1.345861527,103.816305013,1.345884047,103.816292426,0120.75304N,10348.97755E,2.832283712,100.530606258,False
211,37111,True,1.345858380,103.816316268,1.345879961,103.816296125,0120.75280N,10348.97777E,2.695945969,105.105922398,False
212,37112,True,1.345855234,103.816327523,1.345870400,103.816324472,0120.75222N,10348.97947E,2.385088914,112.559862796,False
213,37113,True,1.345852087,103.816338778,1.345865527,103.816327427,0120.75193N,10348.97965E,2.555561136,110.370879028,False
214,37114,True,1.345848940,103.816350033,1.345866449,103.816344197,0120.75199N,10348.98065E,2.702380032,102.645761793,False
215,37115,True,1.345845794,103.816361288,1.345867642,103.816337896,0120.75206N,10348.98027E,2.712880532,108.245457078,False
216,37116,True,1.345842647,103.816372543,1.345873382,103.816356382,0120.75240N,10348.98138E,2.827094405,108.280012372,False
217,37117,True,1.345839501,103.816383799,1.345851005,103.816365157,0120.75106N,10348.98191E,2.338497115,100.763158657,False
218,37118,True,1.345836354,103.816395054,1.345838489,103.816363638,0120.75031N,10348.98182E,2.562218174,108.031006431,False
219,37119,True,1.345833207,103.816406309,1.345848675,103.816379721,0120.75092N,10348.98278E,2.398729217,113.546625833,False
220,37120,True,1.345830061,103.816417564,1.345841207,103.816389010,0120.75047N,10348.98334E,2.520186289,103.612278223,False
221,37121,True,1.345826914,103.816428819,1.345844127,103.816401478,0120.75065N,10348.98409E,2.960819913,108.155544548,False
222,37122,True,1.345823768,103.816440074,1.345828850,103.816412226,0120.74973N,10348.98473E,2.645306369,99.616975067,False
223,37123,True,1.345820621,103.816451330,1.345837701,103.816428294,0120.75026N,10348.98570E,2.794598690,95.607771469,False
224,37124,True,1.345817474,103.816462585,1.345825976,103.816429878,0120.74956N,10348.98579E,2.700051673,108.736609874,False
225,37125,True,1.345814328,103.816473840,1.345822989,103.816440535,0120.74938N,10348.98643E,2.687418531,114.333250856,False
226,37126,True,1.345811181,103.816485095,1.345818776,103.816434838,0120.74913N,10348.98609E,2.874154504,107.224192627,False
227,37127,True,1.345808035,103.816496350,1.345818489,103.816449267,0120.74911N,10348.98696E,2.541331911,100.888686042,False
228,37128,True,1.345804888,103.816507605,1.345820699,103.816464884,0120.74924N,10348.98789E,2.059504472,109.231562583,False
229,37129,True,1.345801741,103.816518860,1.345811447,103.816471585,0120.74869N,10348.98830E,2.650208072,102.404811094,False
230,37130,True,1.345798595,103.816530116,1.345799585,103.816493490,0120.74798N,10348.98961E,2.586279160,110.581354268,False
231,37131,True,1.345795448,103.816541371,1.345810288,103.816512269,0120.74862N,10348.99074E,2.268297587,103.046531868,False
232,37132,True,1.345792302,103.816552626,1.345796078,103.816515278,0120.74776N,10348.99092E,2.446081935,100.545300680,False
233,37133,True,1.345789155,103.816563881,1.345797795,103.816527553,0120.74787N,10348.99165E,2.731102126,104.214606634,False
234,37134,True,1.345786008,103.816575136,1.345771729,103.816537341,0120.74630N,10348.99224E,2.495765757,106.816525966,False
